horizon_h,horizon_steps,n_windows,temp_rmse_c,temp_mae_c,temp_bias_c,temp_p95_abs_error_c,energy_error_rmse_kwh,energy_error_mae_kwh
1.0,4,10720,1.576885188489098,1.2736366706195847,0.4007170894947659,2.899491445162493,1.222329303003754,0.8188687361210538
4.0,16,10624,1.5786576945694348,1.2736170562008418,0.4015506550750468,2.906435011975806,4.727517435381663,3.2161993222788943
8.0,32,10496,1.57894099368292,1.2732879589123804,0.39539916336617914,2.9087629977055487,8.83188103212608,6.3029222427454
24.0,96,9984,1.5571616098141303,1.257357618465315,0.4640006284750443,2.85245409908942,22.462191409641047,18.71270396703968
