episode_id,season,policy,n_steps,temp_rmse_c,temp_mae_c,temp_bias_c,power_rmse_w,power_mae_w
bestest_air_article7_style_15min__peak_heat_window_hdrl,peak_heat_window,hdrl,1343,1.540045716933285,1.190747816783845,0.05120949775139195,1059.8237740401357,686.5558086304936
bestest_air_article7_style_15min__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,1.5151214853438157,1.2681692180267066,0.1052445545021228,1171.3153358046263,755.4638318948535
bestest_air_article7_style_15min__typical_heat_window_hdrl,typical_heat_window,hdrl,1343,1.7746440172446196,1.3266068969964337,0.751141904129709,1243.3706420466988,890.0338371548299
bestest_air_article7_style_15min__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,1.5532521702728468,1.3127101469650073,0.7038394232803842,1299.8663678015905,929.2610849536054
bestest_air_article7_style_15min_article22_gru__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,1.2079272114700348,1.004370875628209,0.03504490457818841,1051.6348268613583,667.246293263644
bestest_air_article7_style_15min_article22_gru__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,1.2810827627391337,1.0798828406644225,0.594467317507542,1200.2094586069206,845.5693142720693
bestest_air_article7_style_15min_ms_guarded__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,1.756662676363878,1.442599795080284,0.1415991580140272,1307.2516844908646,812.0647957626555
bestest_air_article7_style_15min_ms_guarded__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,1.8847956571871303,1.5754906036021141,0.829930437639358,1459.9408344615422,1003.9074472446204
