epoch,train_loss,val_loss,val_multi,rmse_temp,mae_temp,mse_power,r2_temp,val_rollout_windows,val_rollout_h2_rmse,val_rollout_h4_rmse,val_rollout_rmse,val_rollout_weighted_rmse,val_rollout_h2_weight,val_rollout_h4_weight
1,16.201753707493054,1.7289024591445923,2.805664208200243,0.5599468355828071,0.4339245855808258,0.03253656625747681,0.7373096611520875,256.0,1.0811171819382281,2.066200147945376,1.573658664941802,1.573658664941802,0.5,0.5
2,2.320708685061511,1.2102584507730272,1.9108219014273748,0.4931800613074379,0.36956846714019775,0.013843790628015995,0.7962199992330341,256.0,0.9253997346323187,1.6695709512033836,1.2974853429178512,1.2974853429178512,0.5,0.5
3,1.750036425450269,0.9505061142974429,1.4755781094233196,0.4652817529853307,0.3905319273471832,0.009515879675745964,0.8186228500017885,256.0,0.8568774006546898,1.497814724464873,1.1773460625597814,1.1773460625597814,0.5,0.5
4,1.7038433288826662,0.6333695517645942,0.891193817059199,0.43444921970927364,0.33942922949790955,0.005676141940057278,0.841864796941637,256.0,0.7357916339172629,1.109120795368917,0.9224562146430899,0.9224562146430899,0.5,0.5
5,1.118763911373475,0.6600711676809523,0.9234332574738396,0.4394561937013082,0.3497840166091919,0.004156353417783976,0.8381988123171552,256.0,0.7407652429432942,1.1038341037632557,0.9222996733532749,0.9222996733532749,0.5,0.5
6,1.1581374792491688,0.7005560398101807,0.9710425270928277,0.46609306747176826,0.38576555252075195,0.003877548035234213,0.817989767840267,256.0,0.7822649667325973,1.151753425989434,0.9670091963610157,0.9670091963610157,0.5,0.5
7,1.0041822948876549,0.4965108268790775,0.68478990594546,0.3874939364297278,0.3094397783279419,0.003579553682357073,0.8742000797943649,256.0,0.6471906602284886,0.9457254684745622,0.7964580643515253,0.7964580643515253,0.5,0.5
8,0.976367678712396,0.5929762456152174,0.8240471416049533,0.41284540627118227,0.3290577232837677,0.003425220027565956,0.8572009100097622,256.0,0.690500453613282,1.020177252907647,0.8553388532604644,0.8553388532604644,0.5,0.5
9,0.8203574173590716,0.4511852314074834,0.6169410910871294,0.3666126540167082,0.29389625787734985,0.0033970882650464773,0.8873929858745567,256.0,0.6054206639714367,0.876752766401359,0.7410867151863978,0.7410867151863978,0.5,0.5
10,0.8693023113643422,0.5079579750696818,0.699833032157686,0.3822536281540749,0.3067425787448883,0.0034402087330818176,0.8775796095720002,256.0,0.6343768532269741,0.9315118104516913,0.7829443318393328,0.7829443318393328,0.5,0.5
11,0.8175512096461128,0.5823389854696062,0.8022850652535757,0.41173659544748437,0.32283729314804077,0.0031890019308775663,0.8579669302340109,256.0,0.6829877124286516,0.9998031438626397,0.8413954281456457,0.8413954281456457,0.5,0.5
12,0.8292586926151725,0.5320836471186744,0.7192664610015022,0.40455652275131065,0.32270142436027527,0.0033759416546672583,0.8628774261649435,256.0,0.6616405676296114,0.943968262712354,0.8028044151709828,0.8028044151709828,0.5,0.5
13,0.7773396074771881,0.5647373994191488,0.7464660902818044,0.44430769945900495,0.3528912365436554,0.002915703458711505,0.8346065840264789,256.0,0.7166976139778886,0.9998578743075627,0.8582777441427256,0.8582777441427256,0.5,0.5
14,0.7778610236504498,0.4818839993741777,0.6587178210417429,0.3773507111659563,0.2962026000022888,0.0028742379508912563,0.8806998761079695,256.0,0.6208965817617544,0.900808920600791,0.7608527511812727,0.7608527511812727,0.5,0.5
15,0.986312433200724,0.5710608330037859,0.7766856484942966,0.4068873248013504,0.33017149567604065,0.0029470897279679775,0.8612928526811525,256.0,0.669296359756524,0.9598911235244733,0.8145937416404987,0.8145937416404987,0.5,0.5
16,0.8055038855356329,0.40561091403166455,0.5400592022471957,0.3628621298583518,0.29051241278648376,0.0027651102282106876,0.8896851856701548,256.0,0.5849525677043186,0.8232470230344588,0.7040997953693887,0.7040997953693887,0.5,0.5
17,0.7283383993541493,0.5030657582812839,0.6839395463466644,0.3863887920515876,0.312365859746933,0.0026787116657942533,0.8749166346929477,256.0,0.6326044543604359,0.9108316949098448,0.7717180746351404,0.7717180746351404,0.5,0.5
18,0.7619740840266732,0.4645062850581275,0.6117777526378632,0.40484865286481525,0.32259559631347656,0.0023504768032580614,0.8626793261300129,256.0,0.6514749466892324,0.9068796454084906,0.7791772960488615,0.7791772960488615,0.5,0.5
19,0.7725377661340377,0.4681711130672031,0.6087104777495066,0.4014210351616909,0.3262507915496826,0.0024805974680930376,0.8649947068287102,256.0,0.6355151662140256,0.8709954729284298,0.7532553195712277,0.7532553195712277,0.5,0.5
20,0.7161423388649436,0.4384855644570457,0.5784866710503896,0.38044426621883987,0.3064577877521515,0.002332027070224285,0.8787358018763751,256.0,0.6065867871645636,0.8462421641713578,0.7264144756679607,0.7264144756679607,0.5,0.5
21,0.7543453170972712,0.5569205631812414,0.7087227669027116,0.4579427058748041,0.35885536670684814,0.002307082526385784,0.8242995690793965,256.0,0.7148015410575672,0.9598028514486054,0.8373021962530863,0.8373021962530863,0.5,0.5
22,0.7566726628471824,0.46282238761583966,0.6133347021208869,0.38634746722949614,0.318331241607666,0.0020069973543286324,0.8749433846434345,256.0,0.6197651207616016,0.8660873447378076,0.7429262327497046,0.7429262327497046,0.5,0.5
23,0.7255571063827065,0.5888971951272752,0.7588997383912405,0.45145892635084117,0.37420010566711426,0.0020397845655679703,0.8292396558747899,256.0,0.7111108705870609,0.9618955377959121,0.8365032041914865,0.8365032041914865,0.5,0.5
24,0.7301430369124693,0.43203983041975236,0.5479719771279229,0.39433534876272647,0.32269516587257385,0.0022088494151830673,0.8697187409227152,256.0,0.6131774310936973,0.818988294509524,0.7160828628016107,0.7160828628016107,0.5,0.5
25,0.754318001515725,0.4073656184805764,0.5294010738531748,0.36901867582904063,0.30598729848861694,0.001899813418276608,0.8859100884631651,256.0,0.5827384944396159,0.7990320556908033,0.6908852750652096,0.6908852750652096,0.5,0.5
26,0.6766682758050806,0.4462132917510139,0.5799783633814918,0.3956246285941503,0.3228923976421356,0.0018855746602639556,0.8688654401817508,256.0,0.6256138255462568,0.8558196711722682,0.7407167483592625,0.7407167483592625,0.5,0.5
27,0.6201375880662132,0.4707338992092345,0.6128106249703301,0.3998035127131464,0.3362007737159729,0.0016977168852463365,0.8660805208608537,256.0,0.6337910886491583,0.8672067369353194,0.7504989127922388,0.7504989127922388,0.5,0.5
28,0.6551515775568345,0.42125288314289516,0.5568219489521451,0.365937051715788,0.29814082384109497,0.001903289696201682,0.8878076399486359,256.0,0.5836647777757452,0.817751197310553,0.7007079875431491,0.7007079875431491,0.5,0.5
29,0.6508020863813513,0.5094526012738546,0.6451096170478396,0.4320177872890052,0.3616635501384735,0.0014138418482616544,0.8436298758923005,256.0,0.6706514266492362,0.8924576435726996,0.7815545351109678,0.7815545351109678,0.5,0.5
30,0.6995887817705378,0.5923803415563371,0.7415652308199141,0.48245775035330185,0.37728744745254517,0.0017449528677389026,0.8049845172583363,256.0,0.7459066863432889,0.9873147553198972,0.8666107208315931,0.8666107208315931,0.5,0.5
31,0.658219575881958,0.5159028520186743,0.6486040502786636,0.44342235504374966,0.3550681471824646,0.0016317191766574979,0.8352650673011802,256.0,0.6844210469999356,0.907542455406148,0.7959817512030418,0.7959817512030418,0.5,0.5
32,0.6298564199139091,0.5446355806456672,0.6914564073085785,0.44129927360078114,0.3527185618877411,0.0014254339039325714,0.836838778466835,256.0,0.6829590427251808,0.9147060617333974,0.7988325522292892,0.7988325522292892,0.5,0.5
33,0.7583171549965354,0.656627357006073,0.7747421264648438,0.5249126486542974,0.42908379435539246,0.0013047533575445414,0.7691527974369565,256.0,0.7754126030903513,0.9696934178508742,0.8725530104706127,0.8725530104706127,0.5,0.5
