epoch,train_loss,val_loss,val_multi,rmse_temp,mae_temp,mse_power,r2_temp
1,1.7866495691239834,1.701062985509634,2.1751297391951083,0.7831667085395775,0.6527033448219299,0.0019910207483917475,0.7948484185517679
2,0.7011302024126053,0.3035611316561699,0.36382599994540216,0.34860059445038305,0.2815797030925751,0.0012510063825175166,0.9593535461497353
3,0.6318144796416163,0.1912994349375367,0.228700702637434,0.27724416046167233,0.22051285207271576,0.0008542602881789207,0.9742906406159135
4,0.5801249669864774,0.1628153298050165,0.19892359860241413,0.2514915378068367,0.19145677983760834,0.001048258156515658,0.9788449934962808
5,0.548828118480742,0.16658752001821994,0.2022814977914095,0.2555648331380552,0.1951085478067398,0.001337460707873106,0.978154167992972
6,0.5329213870689273,0.14985942523926496,0.18221141397953033,0.24217057938071954,0.18100003898143768,0.0010702750878408551,0.9803840576755868
7,0.5145645003765822,0.1648545889183879,0.2042493626475334,0.2500859947122298,0.18559753894805908,0.0018744537374004722,0.9790807962357508
8,0.5117833813652396,0.15096115237101912,0.1840084488503635,0.2422972860993937,0.18146662414073944,0.0024844829458743334,0.9803635251758737
9,0.5115989804267883,0.20123721081763507,0.24969458747655154,0.2761203215959537,0.217254638671875,0.0014813583111390471,0.9744986513070732
10,0.4935167696326971,0.17356390915811062,0.21185684483498335,0.25976440601493095,0.1986446976661682,0.00158951326739043,0.9774303046648191
11,0.4727537762373686,0.1658071817830205,0.202623828407377,0.25364470582798904,0.18906623125076294,0.0016091314610093832,0.9784812005884208
12,0.4805237382650375,0.2536882948130369,0.3208985202014446,0.3051562859983955,0.245100736618042,0.0011977979447692633,0.9688533703095482
13,0.45945001635700466,0.1359178806655109,0.17079143403097988,0.22456073234270088,0.17086409032344818,0.0009398990077897906,0.9831331476420212
14,0.4584713725373149,0.16409883964806796,0.20137248588725926,0.2516433970770324,0.19013939797878265,0.000879213388543576,0.9788194365355776
15,0.44564311392605305,0.14449428617954255,0.1796024849638343,0.23370569347253814,0.1727270781993866,0.0007507267291657627,0.9817314107544453
16,0.44542267825454473,0.14171463185921312,0.17810465367510914,0.22934975769734145,0.16968987882137299,0.0006061714957468212,0.9824060642724003
17,0.43544073551893236,0.14652569899335505,0.18111446723341942,0.2364811205002022,0.17811541259288788,0.0004565663984976709,0.981294928650427
18,0.4290400831028819,0.1808088050223887,0.2181349509395659,0.26776929277569333,0.19939051568508148,0.00043168599950149655,0.9760178588962993
19,0.4299652809277177,0.13339168922975658,0.1683305509388447,0.22178696880677934,0.16639326512813568,0.0003672173188533634,0.9835472509562959
20,0.42589450944215057,0.1475934692658484,0.18461113497614862,0.23507030982442514,0.18079662322998047,0.0002989331551361829,0.9815174464757789
21,0.4256278289481997,0.15549538200721144,0.19302187152206898,0.2428171141565298,0.1853805035352707,0.000248100608587265,0.980279178033918
22,0.4177284060046077,0.15090926326811313,0.1879175180569291,0.2385975192758425,0.17867793142795563,0.00022757405531592667,0.9809586267219847
23,0.4127481296658516,0.15473521519452332,0.19237387664616107,0.24192739178022274,0.18461458384990692,0.00020179794228170067,0.9804234338978467
24,0.4180878385901451,0.1478760229423642,0.18118965858593583,0.23929358234438003,0.17863105237483978,0.00021125741477590054,0.9808473648185582
25,0.41230712840333583,0.14850854082033038,0.1922819717787206,0.22880041683367877,0.17522752285003662,0.0001699669228401035,0.9824902459261567
26,0.40650801099836825,0.1574668218381703,0.19652027413249015,0.24329010634328369,0.18578270077705383,0.0001764418848324567,0.9802022738732623
27,0.40267638079822066,0.15609523886814713,0.19072806807234882,0.24640825398996327,0.1844588816165924,0.00015289659495465457,0.9796915433951118
28,0.39915150459855797,0.14176653176546097,0.176549372356385,0.23125114021793416,0.17464548349380493,0.00015683354286011308,0.9821131362028391
29,0.4000897280871868,0.1521180372685194,0.1974901628680527,0.23099454611371656,0.17874778807163239,0.00014098356768954545,0.9821528095063243
30,0.40244700834155084,0.13446653727442026,0.17197320535778998,0.22015187955624058,0.16865837574005127,0.00012892886297777295,0.9837889474682607
31,0.39378443360328674,0.17117508444935084,0.21607969775795938,0.2512433752685871,0.19488711655139923,0.0001252861984539777,0.9788867224423378
32,0.3910047098994255,0.22085758335888386,0.27459022514522075,0.28905762848744254,0.2236373871564865,0.00012139243335695937,0.9720529929262699
33,0.3929706756025553,0.13979966016486287,0.17548135919496416,0.22813340361022713,0.1678651124238968,0.0001501006045145914,0.9825921886507468
34,0.3898236585780978,0.13472366333007812,0.16927109397947787,0.22377757422000358,0.17069122195243835,0.00011765260569518432,0.9832505884361654
35,0.3919183023273945,0.15054933931678532,0.18899791343137623,0.23672848672010183,0.18005351722240448,0.00011159781570313498,0.9812557757375444
36,0.39838133631274103,0.15521378023549914,0.19554687142372132,0.23964787042452773,0.1823616921901703,0.00010585271229501814,0.9807906103415401
