horizon_h,n_windows,n_episodes,temp_rmse_c,temp_rmse_ci_low,temp_rmse_ci_high,temp_bias_c,temp_bias_ci_low,temp_bias_ci_high,temp_mae_c,energy_target_rmse_kwh,energy_target_rmse_ci_low,energy_target_rmse_ci_high,energy_target_bias_kwh,energy_target_bias_ci_low,energy_target_bias_ci_high,temp_p95_abs_error_c,energy_p95_abs_error_kwh
1,10720,8,0.6546185440261169,0.5703406336158601,0.7592261957828883,-0.12019841112475232,-0.20039984532744007,-0.046542202402357624,0.4896835246163561,1.2209704379629056,1.1368507848365077,1.3138988335183668,-0.7900985830373894,-0.8682175694558856,-0.7158805962675647,1.2342607488121704,2.749344653648246
4,10624,8,0.6480598015962654,0.570214130596767,0.7452775419131649,-0.12441151688885183,-0.20335887458863738,-0.04760875278383009,0.4862113256238827,4.7242687799376135,4.3645412617408486,5.0913400113404315,-3.135250503638445,-3.4085058657429417,-2.842942976316401,1.2269690508639173,10.698494814734385
8,10496,8,0.6489128090232967,0.5651940009246884,0.7440563685326119,-0.12679329228028927,-0.21764100584972015,-0.033593343957489065,0.4864299065619107,8.826615238955943,7.991852524725303,9.65246466757944,-6.202351961674426,-6.821259004950592,-5.56149883191803,1.2311160131182701,19.859650227258463
24,9984,8,0.64407034617221,0.5582461028250121,0.7331029616035253,-0.11236266244771971,-0.19757884175970242,-0.016716235665629717,0.4817471355370756,22.33652628564754,19.61299465333099,25.168569549638825,-18.547820866536057,-20.813208649214463,-16.050661435508097,1.2069833327418364,44.728054843807854
