episode_id,season,policy,steps,temp_rmse_c,temp_bias_c,temp_mae_c,power_rmse_w,power_bias_w
bestest_air_article7_style_15min__peak_heat_window_hdrl,peak_heat_window,hdrl,1343,0.6905592635587866,-0.2908939988086431,0.5269535815240783,1057.6181226855965,-664.3686152937436
bestest_air_article7_style_15min__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.486253074861552,-0.08618204859784506,0.3859923023921584,1167.9826493733312,-716.7613828064165
bestest_air_article7_style_15min__typical_heat_window_hdrl,typical_heat_window,hdrl,1343,0.9642916104952521,-0.17321436755299605,0.6313517428061144,1242.8655415130277,-866.9585109249467
bestest_air_article7_style_15min__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.5204939414626176,-0.07178414110956963,0.42686488419540314,1299.4089494339312,-897.5520016803575
bestest_air_article7_style_15min_article22_gru__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.5576873833110197,-0.20044363481007482,0.45051455383753325,1049.1185077938003,-633.0307163049441
bestest_air_article7_style_15min_article22_gru__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.6824742924999865,-0.1968222726307039,0.5515571671461896,1200.6722760984812,-817.612004022316
bestest_air_article7_style_15min_ms_guarded__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.6547865403419406,0.02128745361842337,0.48058359257265404,1303.4054157433554,-769.5843474944701
bestest_air_article7_style_15min_ms_guarded__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.6393315393491447,0.05937897767433019,0.4829460383445666,1458.4015681363646,-970.2360232750447
