epoch,train_loss,train_rmse_temp,val_loss,val_rmse_temp,loss_power_train,loss_power_val,loss_c_prior_train,loss_c_prior_val,loss_temp_reg_train,loss_temp_reg_val,loss_rollout_train,loss_rollout_val,loss_rollout_val_teacher,loss_rollout_val_mixed,rollout_rmse_train,rollout_rmse_val,rollout_rmse_val_teacher,rollout_rmse_val_mixed,loss_rollout_val_free,rollout_rmse_val_free,rollout_free_run_ratio,selection_metric,selection_metric_name,c_zon_j_per_k,temp_scale,temp_bias_c,power_scale,power_bias_w,backbone_lr,calib_lr
1,0.18194960826076567,0.3364891819655895,0.14432431757450104,0.308339923620224,0.08770889788866043,0.06718309968709946,0.002440392505377531,0.002440392505377531,0.0001532783458060294,0.00015479931607842445,0.11923143593594432,0.09506364166736603,0.09506364166736603,0.09506364166736603,0.3405494950711727,0.3083239197731018,0.3083239197731018,0.3083239197731018,1.5514774322509766,1.245583176612854,0.0,1.245583176612854,val_rollout_rmse_free,441269.40625,0.9950389266014099,-0.007221309933811426,1.0146809816360474,0.015704041346907616,0.0,0.0005
2,0.15692320023663342,0.30838675424456596,0.11663587763905525,0.27668043971061707,0.08901875116862357,0.06715551018714905,0.002440392505377531,0.002440392505377531,0.00015524499576713424,0.00015494186664000154,0.10318414925131947,0.07672924548387527,0.07672924548387527,0.07672924548387527,0.3140488010831177,0.27700045704841614,0.27700045704841614,0.27700045704841614,1.1466964483261108,1.0708391666412354,0.0,1.0708391666412354,val_rollout_rmse_free,441269.40625,0.997360110282898,-0.009700137190520763,1.0200467109680176,0.03337499499320984,0.0,0.0005
3,0.14661402394995093,0.2933079581707716,0.10468824952840805,0.2618056833744049,0.08695350657217205,0.06716036051511765,0.002440392505377531,0.002440392505377531,0.0001571223619976081,0.0001597364607732743,0.09348553547170013,0.06885337829589844,0.06885337829589844,0.06885337829589844,0.2949097524397075,0.262399286031723,0.262399286031723,0.262399286031723,1.181985855102539,1.0871917009353638,0.0,1.0871917009353638,val_rollout_rmse_free,441269.40625,0.9991925954818726,-0.011545962654054165,1.0188437700271606,0.04924136400222778,0.0,0.0005
4,0.12762267887592316,0.2680808645673096,0.09709957242012024,0.2519998252391815,0.08802937681321055,0.06715914607048035,0.002440392505377531,0.002440392505377531,0.00016150480360010988,0.00016403800691477954,0.08346702833659947,0.06375224888324738,0.06375224888324738,0.06375224888324738,0.27777852956205606,0.2524920701980591,0.2524920701980591,0.2524920701980591,1.0899856090545654,1.0440237522125244,0.0,1.0440237522125244,val_rollout_rmse_free,441269.40625,1.0018726587295532,-0.011294304393231869,1.0188792943954468,0.0648818388581276,0.0,0.0005
5,0.12100610276684165,0.2645111312158406,0.09161190688610077,0.24463842809200287,0.09095370583236217,0.0671565905213356,0.002440392505377531,0.002440392505377531,0.00016751336352172075,0.00017140361887868494,0.07907710038125515,0.06008811295032501,0.06008811295032501,0.06008811295032501,0.2728052604943514,0.24512876570224762,0.24512876570224762,0.24512876570224762,1.2211191654205322,1.105042576789856,0.0,1.105042576789856,val_rollout_rmse_free,441269.40625,1.0033998489379883,-0.012056450359523296,1.0191707611083984,0.08195199072360992,0.0,0.0005
6,0.11538810795173049,0.2602838291786611,0.08674559369683266,0.23793518543243408,0.08655656699556857,0.06715990602970123,0.002440392505377531,0.002440392505377531,0.00017520237861390342,0.00017888729053083807,0.07523564109578729,0.05682448297739029,0.05682448297739029,0.05682448297739029,0.2656946871429682,0.2383788675069809,0.2383788675069809,0.2383788675069809,1.3286038637161255,1.1526508331298828,0.0,1.1526508331298828,val_rollout_rmse_free,441269.40625,1.0046137571334839,-0.01262502372264862,1.0182812213897705,0.0978597104549408,0.0,0.0005
7,0.11031580914277583,0.24966773390769958,0.08230628445744514,0.23165269196033478,0.088031638530083,0.06715493649244308,0.002440392505377531,0.002440392505377531,0.00018253051985084312,0.00018622918287292123,0.07165326247923076,0.05384545773267746,0.05384545773267746,0.05384545773267746,0.25685317255556583,0.2320462465286255,0.2320462465286255,0.2320462465286255,1.396742820739746,1.1818387508392334,0.0,1.1818387508392334,val_rollout_rmse_free,441269.40625,1.0054230690002441,-0.013237016275525093,1.0190775394439697,0.11379595100879669,0.0,0.0005
8,0.10732401709537953,0.2439689813181758,0.0788989458233118,0.22671149671077728,0.09018689696677029,0.06715492159128189,0.002440392505377531,0.002440392505377531,0.00018956005396830733,0.00019271735800430179,0.07310946629149839,0.0515599362552166,0.0515599362552166,0.0515599362552166,0.2538932617753744,0.22706812620162964,0.22706812620162964,0.22706812620162964,1.3995254039764404,1.1830153465270996,0.0,1.1830153465270996,val_rollout_rmse_free,441269.40625,1.0057435035705566,-0.013935597613453865,1.0188546180725098,0.130584716796875,0.0,0.0005
9,0.11005276290234178,0.23973372671753168,0.08290533348917961,0.22426120936870575,0.088182314299047,0.06715661287307739,0.002440392505377531,0.002440392505377531,0.00019447342720013694,0.0001954164181370288,0.08167575229890645,0.061782561242580414,0.05043059214949608,0.061782561242580414,0.2775708739645779,0.24856097996234894,0.22456756234169006,0.24856097996234894,1.2310354709625244,1.109520435333252,0.009615384615384616,1.109520435333252,val_rollout_rmse_free,441269.40625,1.0057189464569092,-0.013601373881101608,1.0183380842208862,0.14323069155216217,0.0,0.0005
10,0.11922611529007554,0.24928933754563332,0.08953150361776352,0.22454817593097687,0.08781527681276202,0.0671546533703804,0.002440392505377531,0.002440392505377531,0.0001963576746675244,0.00019683560822159052,0.08667323377449065,0.07477716356515884,0.05054251849651337,0.07477716356515884,0.28774200519546866,0.27345412969589233,0.22481663525104523,0.27345412969589233,1.310744047164917,1.144877314567566,0.019230769230769232,1.144877314567566,val_rollout_rmse_free,441269.40625,1.0052640438079834,-0.013301772996783257,1.0185734033584595,0.15544654428958893,0.0,0.0005
