epoch,train_loss,val_loss,val_multi,rmse_temp,mae_temp,mse_power,r2_temp,val_rollout_windows,val_rollout_h2_rmse,val_rollout_h4_rmse,val_rollout_rmse,val_rollout_weighted_rmse,val_rollout_h2_weight,val_rollout_h4_weight
1,1.5119620793882538,0.15974710467788908,0.22584649754895103,0.19793324756601452,0.15457741916179657,0.05333281308412552,0.9671762619770875,256.0,0.3368615561559562,0.5459033787069949,0.4413824674314756,0.4413824674314756,0.5,0.5
2,0.32652927080498023,0.15102700433797306,0.22541159888108572,0.19733589167288368,0.1482921689748764,0.015024274587631226,0.9673740844857579,256.0,0.3473831327372446,0.5919265280255072,0.4696548303813759,0.4696548303813759,0.5,0.5
3,0.2799501570270342,0.08789232952727212,0.12518923398521212,0.1586696198987336,0.12114080786705017,0.010698413476347923,0.9789070120036364,256.0,0.2636447492507307,0.4292691443605937,0.3464569468056622,0.3464569468056622,0.5,0.5
4,0.31206341986270514,0.13685421480072868,0.20031613773769802,0.18698016266482276,0.1490056812763214,0.008019596338272095,0.9707084998332884,256.0,0.3153384573584344,0.5255494557838714,0.42044395657115285,0.42044395657115285,0.5,0.5
5,0.26063034749206376,0.10944663484891255,0.15674127141634622,0.17750214506585882,0.14184145629405975,0.005926435347646475,0.9736028062788,256.0,0.29909554797769616,0.47853419403878483,0.3888148710082405,0.3888148710082405,0.5,0.5
6,0.2916206618880524,0.15600436180830002,0.22279880940914154,0.21201132375011783,0.17413362860679626,0.004900026135146618,0.9623410114724741,256.0,0.3596798747245234,0.5646764261241275,0.4621781504243254,0.4621781504243254,0.5,0.5
7,0.30545201963361573,0.2563900649547577,0.3784017529752519,0.25413162792473515,0.21845529973506927,0.004390437621623278,0.9458911944751448,256.0,0.44012866899945713,0.7227948612233652,0.5814617651114111,0.5814617651114111,0.5,0.5
8,0.2934630988713573,0.14797339505619472,0.21765376544660991,0.19645989987957976,0.16220998764038086,0.004007136914879084,0.9676631027203183,256.0,0.3353173611680619,0.5555851149380953,0.44545123805307857,0.44545123805307857,0.5,0.5
9,0.299060628256377,0.19143534700075784,0.2741721636719174,0.23481942796424746,0.1949710249900818,0.003885089186951518,0.9538024893474695,256.0,0.40060313778699363,0.6277205528695707,0.5141618453282821,0.5141618453282821,0.5,0.5
10,0.2893761696622652,0.08518124454551274,0.12179943463868564,0.15592257645201976,0.12266963720321655,0.003825787454843521,0.9796310556350111,256.0,0.2562247759925359,0.41518485957054174,0.3357048177815388,0.3357048177815388,0.5,0.5
