horizon_h,horizon_steps,n_windows,temp_rmse_c,temp_mae_c,temp_bias_c,temp_p95_abs_error_c,energy_error_rmse_kwh,energy_error_mae_kwh
1.0,4,10720,0.7278076966285851,0.5569388035611537,-0.10336886957677777,1.4130223127831776,0.22180688957268432,0.1628049362281561
4.0,16,10624,0.7274884782017944,0.5571160358748635,-0.10791762228022779,1.4074067535489831,0.7806954287014667,0.5736775612589433
8.0,32,10496,0.722465980859113,0.5538956592600902,-0.11820505563724239,1.3998232102276376,1.2992131445689983,0.9458417610236463
24.0,96,9984,0.6962842181264842,0.539464561403172,-0.14765929552316484,1.3332451573054298,2.575066180707027,1.871358713565903
