horizon_h,horizon_steps,n_windows,temp_rmse_c,temp_mae_c,temp_bias_c,temp_p95_abs_error_c,energy_error_rmse_kwh,energy_error_mae_kwh
1.0,4,10720,0.7227952443071166,0.5508014177644411,-0.10070955657414872,1.3815630591506756,0.26668666263650803,0.19535110369357755
4.0,16,10624,0.7207104403882945,0.5491809215447344,-0.10380659693246068,1.377131277658461,0.9228099516525898,0.692336965325271
8.0,32,10496,0.719401434587219,0.5480669981979422,-0.10386899663099337,1.3733943291934452,1.5138320469829696,1.120063120157867
24.0,96,9984,0.7230203662942551,0.5494518387614573,-0.09840971716030869,1.3813083863546445,2.806452415190936,2.110966204261036
