episode_id,season,policy,n_steps,temp_rmse_c,temp_mae_c,temp_bias_c,power_rmse_w,power_mae_w
bestest_air_article7_style_15min__peak_heat_window_hdrl,peak_heat_window,hdrl,1343,1.022699311362762,0.8672354091986176,-0.7715238863930652,247.8316265254392,201.24350750345883
bestest_air_article7_style_15min__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.635663599426508,0.5478989266467605,-0.40378481688303264,245.2301131037491,194.9746823726466
bestest_air_article7_style_15min__typical_heat_window_hdrl,typical_heat_window,hdrl,1343,0.9214738030806567,0.6564949037001155,-0.5051052577128019,292.1382250550872,204.44970538527687
bestest_air_article7_style_15min__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.5044888249524094,0.39981286259021676,-0.1773418107654895,264.351817242034,212.43607407685795
bestest_air_article7_style_15min_article22_gru__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.7585155602667757,0.6306247236546161,-0.5103800900772588,297.7591293668896,232.030070816841
bestest_air_article7_style_15min_article22_gru__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.894815046992854,0.7260103386335323,-0.034625828514820114,293.6645589181011,232.85786702462988
bestest_air_article7_style_15min_ms_guarded__peak_heat_window_thermostatic,peak_heat_window,thermostatic,1343,0.5426186856002866,0.42252811150198866,-0.2747904053128333,193.3498108298487,155.38192027047268
bestest_air_article7_style_15min_ms_guarded__typical_heat_window_thermostatic,typical_heat_window,thermostatic,1343,0.5174792828217107,0.3946290634145364,-0.20453588473615764,190.89535211347442,153.68049608311165
