variant,obs_path,backend,lambda_temp_disagree,lambda_power_disagree,rmse_c,mae_c,within_1c_pct,within_05c_pct,violation_pct,energy_kwh,m_s
MORL_5D_basic,basic_5d,hybrid_v3_v35,0.00,5e-5,4.96,4.17,19,9,74.5,121.0,1.046
MORL_17D_power_only,extended_17d,hybrid_v3_v35,0.00,5e-5,0.72,0.56,83,57,4.9,248.6,0.099
