testcase,adapter,controller_none_verdict,m_s_rl,m_s_pi,pass_threshold_m_s,energy_delta_pct_vs_pi,full_surrogate_rmse_baseline_c,full_surrogate_rmse_calibrated_c,full_surrogate_rmse_improvement_pct,full_surrogate_power_mae_baseline_w,full_surrogate_power_mae_calibrated_w,full_surrogate_power_mae_improvement_pct,c_zon_final_j_per_k,c_zon_ratio_vs_bestest_air,status
bestest_hydronic_heat_pump,hydronic_t_supply_to_setpoint_v1,FAIL,0.665237,0.463590,0.579487,-7.270721,1.420565,0.565307,60.205492,2921.062500,1767.057617,39.506340,834718.125000,1.891629,controller_FAIL_surrogate_SUCCESS
bestest_hydronic,hydronic_direct_supply_setpoint_adapter_v1,FAIL,0.975954,0.750180,0.937725,-5.841475,2.666437,0.335012,87.435959,783.880615,84.982208,89.158782,862247.062500,1.954015,controller_FAIL_surrogate_SUCCESS
