scenario,rmse_orig,rmse_replay,rmse_diff,mae_orig,mae_replay,mae_diff,within_1c_pct_orig,within_1c_pct_replay,within_1c_pct_diff,within_05c_pct_orig,within_05c_pct_replay,within_05c_pct_diff,viol_pct_orig,viol_pct_replay,viol_pct_diff,energy_kwh_orig,energy_kwh_replay,energy_kwh_diff,ms_orig,ms_replay,ms_diff,t_min_orig,t_min_replay,t_min_diff,t_max_orig,t_max_replay,t_max_diff,t_mean_orig,t_mean_replay,t_mean_diff
Jan_Winter,0.9261617780260096,0.9261617780260096,0.0,0.7446642404768757,0.7446642404768757,0.0,72.76785714285714,72.76785714285714,0.0,40.25297619047619,40.25297619047619,0.0,5.208333333333334,5.208333333333334,0.0,402.6709745325196,402.6709745325196,0.0,0.090779871756041,0.090779871756041,0.0,20.61326399153745,20.61326399153745,0.0,24.928716922144982,24.928716922144982,0.0,22.52701993153305,22.52701993153305,0.0
Feb_Winter,0.8190496506003139,0.8190496506003139,0.0,0.6528665004467753,0.6528665004467753,0.0,72.47023809523809,72.47023809523809,0.0,48.586309523809526,48.586309523809526,0.0,2.604166666666667,2.604166666666667,0.0,398.0343727195321,398.0343727195321,0.0,0.0542099819625448,0.0542099819625448,0.0,20.40846537878656,20.40846537878656,0.0,24.056171651721968,24.056171651721968,0.0,22.45981747740964,22.45981747740964,0.0
Mar_Spring,1.1045542942852302,1.1045542942852302,0.0,0.9197062203113956,0.9197062203113956,0.0,58.77976190476191,58.77976190476191,0.0,29.464285714285715,29.464285714285715,0.0,5.803571428571429,5.803571428571429,0.0,322.8382047604171,322.8382047604171,0.0,0.1185363160092871,0.1185363160092871,0.0,21.2333949261112,21.2333949261112,0.0,25.452014441365748,25.452014441365748,0.0,22.87888861588136,22.87888861588136,0.0
Apr_Spring,0.5146369798862193,0.5146369798862193,0.0,0.4332561633551406,0.4332561633551406,0.0,98.28869047619048,98.28869047619048,0.0,61.23511904761904,61.23511904761904,0.0,0.0,0.0,0.0,243.1805636103629,243.1805636103629,0.0,0.0,0.0,0.0,21.012218696240893,21.012218696240893,0.0,23.18627937487344,23.18627937487344,0.0,22.25353756473727,22.25353756473727,0.0
May_Spring,0.322613829871944,0.322613829871944,0.0,0.2499620900517996,0.2499620900517996,0.0,99.85119047619048,99.85119047619048,0.0,88.02083333333334,88.02083333333334,0.0,0.0,0.0,0.0,161.26078649223103,161.26078649223103,0.0,0.0,0.0,0.0,21.04038955985777,21.04038955985777,0.0,23.042425386960645,23.042425386960645,0.0,22.0602508789538,22.0602508789538,0.0
Jun_Summer,0.35552887654172,0.35552887654172,0.0,0.2738865512070657,0.2738865512070657,0.0,98.8095238095238,98.8095238095238,0.0,84.74702380952381,84.74702380952381,0.0,1.0416666666666663,1.0416666666666663,0.0,132.14745289197933,132.14745289197933,0.0,0.0304542639061867,0.0304542639061867,0.0,20.57921045797008,20.57921045797008,0.0,23.17319793895706,23.17319793895706,0.0,21.915214904224367,21.915214904224367,0.0
Jul_Summer,0.4802352057344462,0.4802352057344462,0.0,0.3748437514651932,0.3748437514651932,0.0,93.97321428571428,93.97321428571428,0.0,75.66964285714286,75.66964285714286,0.0,2.827380952380953,2.827380952380953,0.0,129.0030366690334,129.0030366690334,0.0,0.057897642261499,0.057897642261499,0.0,20.37789951250852,20.37789951250852,0.0,23.34342211083515,23.34342211083515,0.0,21.89700691180345,21.89700691180345,0.0
Aug_Summer,0.6176153296984871,0.6176153296984871,0.0,0.4996743828866282,0.4996743828866282,0.0,90.32738095238096,90.32738095238096,0.0,57.06845238095239,57.06845238095239,0.0,3.571428571428571,3.571428571428571,0.0,140.0990792327973,140.0990792327973,0.0,0.071766953864461,0.071766953864461,0.0,20.24289396884632,20.24289396884632,0.0,23.62232723795489,23.62232723795489,0.0,21.84733580654505,21.84733580654505,0.0
Sep_Autumn,0.8444230094525618,0.8444230094525618,0.0,0.604739245396269,0.604739245396269,0.0,78.27380952380952,78.27380952380952,0.0,58.63095238095239,58.63095238095239,0.0,5.952380952380952,5.952380952380952,0.0,173.69119790518715,173.69119790518715,0.0,0.1052483130059185,0.1052483130059185,0.0,20.03978542687571,20.03978542687571,0.0,24.167223977148808,24.167223977148808,0.0,22.29284418518751,22.29284418518751,0.0
Oct_Autumn,0.8055380603448505,0.8055380603448505,0.0,0.5493915140455181,0.5493915140455181,0.0,82.96130952380952,82.96130952380952,0.0,65.99702380952381,65.99702380952381,0.0,5.282738095238095,5.282738095238095,0.0,198.11309530498744,198.11309530498744,0.0,0.0758558780132943,0.0758558780132943,0.0,20.636428624978407,20.636428624978407,0.0,24.55268392946192,24.55268392946192,0.0,22.24812456041378,22.24812456041378,0.0
Nov_Autumn,0.7157237795616431,0.7157237795616431,0.0,0.5722123613459207,0.5722123613459207,0.0,83.33333333333334,83.33333333333334,0.0,53.34821428571429,53.34821428571429,0.0,0.9672619047619048,0.9672619047619048,0.0,269.7346625025717,269.7346625025717,0.0,0.0170548796016494,0.0170548796016494,0.0,20.84497252836536,20.84497252836536,0.0,24.082518352174876,24.082518352174876,0.0,22.281223328661717,22.281223328661717,0.0
Dec_Winter,0.8977857728594311,0.8977857728594311,0.0,0.7452847991337042,0.7452847991337042,0.0,69.71726190476191,69.71726190476191,0.0,39.80654761904761,39.80654761904761,0.0,3.6458333333333335,3.6458333333333335,0.0,423.55797853282223,423.55797853282223,0.0,0.0588857097867456,0.0588857097867456,0.0,20.65751864113804,20.65751864113804,0.0,24.53825703488189,24.53825703488189,0.0,22.47842785820412,22.47842785820412,0.0
