controller,rmse_24h_c,m_s_peak,m_s_typ,m_s_mean,std_peak,std_typ,is_single
v3 (hourly),1.5571616098141303,0.0725,0.0947,0.08360000000000001,0.0192,0.0474,True
matched v3 (15-min),0.8761156751667185,1.1416,1.211,1.1763,0.0002,0.0,True
v3.5 (calibrated),0.64407034617221,1.046450541612129,1.1019814764225575,1.0742160090173432,0.021886909561708048,0.02588843901521222,False
hybrid (v3 rollout + v3.5 censor),1.5571616098141303,0.0866490367949334,0.0410662616735334,0.0638576492342334,0.0261,0.0237,False
