testcase,regime,controller_family,controller_verdict,m_s_rl,m_s_pi,pass_threshold_m_s,baseline_gap,violation_pct_rl,violation_pct_pi,energy_kwh_rl,energy_kwh_pi,energy_delta_pct_vs_pi,surrogate_status,raw_rmse_t_c,calibrated_rmse_t_c,rmse_improvement_pct,raw_power_mae_w,calibrated_power_mae_w,power_mae_improvement_pct,c_zon_final_j_per_k,c_zon_ratio_vs_bestest_air,notes
singlezone_commercial_hydronic,none,thermostatic_hybrid,PASS,0.431462,0.628170,0.785213,-0.313145,34.833829,51.512897,18301.416142,13523.096504,35.334508,not_applicable,,,,,,,,,"Frozen controller passes safety threshold through commercial hydronic adapter but consumes 35.3% more energy than PI."
singlezone_commercial_hydronic,full,thermostatic_hybrid,PASS,0.431462,0.628170,0.785213,-0.313145,34.833829,51.512897,18301.416142,13523.096504,35.334508,PASS_SURROGATE_FULL_RECALIBRATION,1.952199,0.238005,87.808378,76654.890625,75652.507812,1.307657,842505.0625,1.909276,"Full Stage A/B/C supports surrogate transfer and hydronic-family uniform C_zon hypothesis; controller KPI unchanged from none by frozen-controller design."
