canonical,scenario,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,within_1c_pct_mean,within_1c_pct_std,within_1c_pct_min,within_1c_pct_max,viol_pct_mean,viol_pct_std,viol_pct_min,viol_pct_max,energy_kwh_mean,energy_kwh_std,energy_kwh_min,energy_kwh_max,ms_mean,ms_std,ms_min,ms_max,ms_cv,ms_range,trigger_like_month
comfort_050_energy_050,Dec_Winter,1.0947248071282911,0.15792683983172218,0.8679675440995095,1.2505286659543204,0.87523413303211,0.14563681715732463,0.7031316272602236,1.0793616352905269,65.05952380952381,11.540727839159008,46.05654761904761,77.00892857142857,15.014880952380954,14.540697057756676,4.166666666666666,40.32738095238096,403.92660171496516,25.204988518347314,360.3334065053839,424.6654914826524,0.21711869785665874,0.1538037907148881,0.0780177626728789,0.4756504538943372,0.7083857458302785,0.3976326912214583,True
comfort_050_energy_050,Feb_Winter,1.0167999904901976,0.14001013562448594,0.8084326512841986,1.2013455332796676,0.8047972177712204,0.13414854040507512,0.6310735519924174,1.0079508733531886,70.49107142857142,9.831231579550366,54.613095238095234,81.39880952380952,13.86904761904762,11.252179769615477,5.803571428571429,33.705357142857146,367.38973795389165,14.757360067886252,341.4502027932247,376.6405800508471,0.21318318934189562,0.1429296685491915,0.0802964742693651,0.4510709745957661,0.6704546873063523,0.370774500326401,True
comfort_050_energy_050,Apr_Spring,0.7086075036139132,0.17978748591912427,0.548128563861498,1.014545862476948,0.581008381482629,0.16552724656972567,0.4345658654910018,0.8663537102322856,82.55952380952381,12.66833664279048,61.086309523809526,92.70833333333334,13.06547619047619,12.082655241353445,6.547619047619048,34.598214285714285,213.29346384795684,12.79560256543995,190.88291468940184,222.3249744582485,0.17139140295213118,0.1356166792535764,0.0927764334120546,0.4130498629007612,0.7912688554831044,0.3202734294887066,True
comfort_050_energy_050,Nov_Autumn,0.8638391196507713,0.141136672266225,0.7072034865306079,1.0599785876773695,0.6786184711263046,0.1365944088534469,0.5408456547869694,0.896294354042414,75.86309523809523,11.175411949229309,57.44047619047619,85.41666666666666,9.43452380952381,11.130589303665914,2.008928571428572,28.869047619047617,257.90841061024963,17.624834778301675,227.85935235651507,272.6178543269104,0.12586947923824182,0.13212272287987312,0.0309426761492172,0.3529320073790462,1.049680380656818,0.321989331229829,True
comfort_050_energy_050,Jan_Winter,1.2103228274734996,0.2221185109880373,0.887803427480142,1.487384073703326,0.9056212733911396,0.14620943624272054,0.6635438666501257,1.028060998243314,65.08928571428571,6.951053579765018,56.47321428571429,75.59523809523809,17.470238095238095,7.959988208109521,6.25,28.57142857142857,376.4628682759073,15.034298736086448,355.1096494104262,389.8314377541371,0.27891132970305066,0.1139887114756141,0.0978838253016917,0.3804945125848164,0.4086915780616542,0.2826106872831247,True
comfort_050_energy_050,Oct_Autumn,0.9165800690752196,0.08852090988804052,0.8442449102972245,1.0625086318418455,0.6948855749667665,0.10294119836637484,0.6358960869150936,0.8770042028390466,74.6875,9.363980437903521,58.48214285714286,81.17559523809523,12.12797619047619,8.726000655701938,6.770833333333333,27.455357142857142,192.67321259950106,12.376656700373939,172.26796499844076,205.3794393911334,0.1570049140741164,0.09861016375285934,0.1002930897449476,0.3292111984597914,0.6280705564814935,0.2289181087148438,True
comfort_050_energy_050,May_Spring,0.6960443097068684,0.10220836691246891,0.6160258438701448,0.8518826556042782,0.5895838964729501,0.08307409109855293,0.5198240217493805,0.6998622895127573,85.25297619047619,8.395119323211777,71.65178571428571,93.08035714285714,14.360119047619047,8.627263425526971,6.919642857142858,28.348214285714285,136.07765717941876,9.887777833315466,119.08607359459866,143.5966494960769,0.17685322722566393,0.098246902826779,0.0887106169085644,0.3379857562734049,0.5555279050769958,0.24927513936484047,True
comfort_050_energy_050,Aug_Summer,0.7979735168413814,0.07553679427478344,0.7237786270739767,0.9154499403077654,0.6730961679411535,0.09011436379294051,0.5557202156604892,0.7899471361836312,76.72619047619048,5.314448338872244,68.15476190476191,82.06845238095238,16.101190476190474,8.358473451766029,6.99404761904762,27.604166666666668,139.11329149761895,5.063420397908211,132.07674745995686,143.591175369125,0.2241675726000299,0.09031684778990988,0.1286091085624407,0.3462856543396702,0.4028988079870828,0.21767654577722947,True
comfort_050_energy_050,Mar_Spring,1.0701000823894293,0.17281754458692036,0.8515748075863658,1.333557745453165,0.8406270158721515,0.13857095234126995,0.6531655942674996,1.0249936229341343,66.91964285714286,7.909614653587992,57.886904761904766,77.82738095238095,10.699404761904763,6.968155912313577,2.5297619047619047,20.982142857142858,284.4141729960214,16.239759871347474,256.4484755928929,296.10200648440536,0.15740687219791263,0.08930669959927848,0.0372368765821904,0.2709264351695099,0.5673621383378379,0.23368955858731952,True
comfort_050_energy_050,Jun_Summer,0.6891797742064372,0.06392527333547726,0.6224382682431966,0.777487280340749,0.5785632092652578,0.06054928970009093,0.5377592811091889,0.683120135560105,86.5327380952381,5.039515321482167,80.87797619047619,92.63392857142856,13.169642857142858,5.112857899586152,7.366071428571429,19.122023809523807,122.87934687986288,6.673047137626621,113.30991037234052,129.27678645324883,0.18473057381905356,0.05724514192288357,0.1072889408637062,0.2480619784215145,0.30988450227495135,0.1407730375578083,True
