canonical,scenario,seed_count,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,within_1c_pct_mean,within_1c_pct_std,within_1c_pct_min,within_1c_pct_max,viol_pct_mean,viol_pct_std,viol_pct_min,viol_pct_max,energy_kwh_mean,energy_kwh_std,energy_kwh_min,energy_kwh_max,ms_mean,ms_std,ms_min,ms_max,ms_cv,ms_range,trigger_like_month
comfort_075_energy_025,Feb_Winter,5,0.897835031497238,0.23231218252985708,0.6762394087037022,1.1540743507770823,0.7110026898093263,0.19484312634836068,0.5359362018610925,0.9920840263205342,72.73809523809524,13.4779045687609,52.30654761904761,85.34226190476191,11.279761904761905,15.328338071133452,2.604166666666667,38.095238095238095,384.4342336414593,26.152772617398867,340.3295511496177,407.1611592478857,0.169750676321565,0.18788225737257994,0.0542099819625448,0.487076571629857,1.106813012141805,0.43286658966731223,True
comfort_075_energy_025,Dec_Winter,5,0.9856501318539646,0.24040015165095338,0.7643207539623275,1.292835411393335,0.8001813442709974,0.21769928549412748,0.5855128138553689,1.0458890248185355,68.76488095238096,13.648701307121916,51.26488095238096,81.91964285714286,12.24702380952381,15.8138215290757,2.827380952380953,39.955357142857146,411.8080020202473,27.770812986160706,365.09490182431847,437.84475020415823,0.16689595747022848,0.18123893680618353,0.0540808677698661,0.4751752534993173,1.0859396449941792,0.4210943857294512,True
comfort_075_energy_025,Apr_Spring,5,0.6106363920169328,0.21850394229133963,0.4422392383422315,0.9932646689691624,0.5005340122838653,0.17761456627381203,0.3613174209952601,0.8110926920782059,90.05952380952381,14.832286494246,63.83928571428571,98.88392857142856,7.797619047619048,14.612288280260243,0.0,33.85416666666667,225.735505776449,19.82673708285133,193.5442294715736,243.1805636103629,0.11045196268127619,0.17118811629765945,0.0,0.4120448185440046,1.5498874998866747,0.4120448185440046,True
comfort_075_energy_025,Jan_Winter,5,0.9874664054872863,0.2234566878536778,0.8039329899002836,1.3492296561613364,0.7599439725711974,0.13681644552783082,0.6245414933724895,0.9161192125492668,72.88690476190477,8.630727880906207,60.49107142857143,81.69642857142857,11.488095238095237,9.463396559011281,3.943452380952381,27.00892857142857,393.0644177131867,21.84525575769019,357.27365612917293,413.5007696868773,0.1835325204244957,0.12360986705442974,0.0828926091624123,0.3559066391801263,0.6735038933074653,0.273014030017714,True
comfort_075_energy_025,Nov_Autumn,5,0.784571127613227,0.12029954486601524,0.6766256385779518,0.9746910972301202,0.6212592894058815,0.11659256675551229,0.5276800182665456,0.8181415116619741,79.59821428571429,8.945358722427084,64.58333333333334,86.75595238095238,7.142857142857143,9.445888922233797,0.9672619047619048,23.883928571428573,263.18441986619024,18.93065496954755,233.94175312870857,281.15576631677084,0.09970404093212594,0.12086214461942327,0.0170548796016494,0.3135151253450041,1.2122090889144685,0.29646024574335467,True
comfort_075_energy_025,Mar_Spring,5,1.0004105583738419,0.1764359968247602,0.7607426277979953,1.2206780104200272,0.7998805638291704,0.14508414987021204,0.5856038873543303,0.9197062203113956,68.36309523809524,9.090087954196193,58.77976190476191,79.91071428571429,9.389880952380953,8.539935997310044,1.1904761904761905,22.69345238095238,299.3038123962577,23.901433233450554,261.66030468779405,322.8382047604171,0.14076962188445324,0.1060199678013851,0.0249428043900322,0.2915924043140906,0.7531452197009423,0.2666495999240584,True
comfort_075_energy_025,May_Spring,5,0.5275705762070827,0.16835046868933026,0.322613829871944,0.7691486010700609,0.42824712783454605,0.13346022020996387,0.2499620900517996,0.5971325350530018,94.01785714285715,7.909439672565753,81.17559523809523,99.85119047619048,5.342261904761905,6.763347837610133,0.0,15.848214285714285,145.82043996559077,15.321647108457055,123.82018356329904,161.26078649223103,0.07722383230283454,0.09086232022938635,0.0,0.2215197867047241,1.176609830409196,0.2215197867047241,True
comfort_075_energy_025,Aug_Summer,5,0.7518761631375422,0.11955469548851641,0.6176153296984871,0.8647555827821711,0.6299051213794978,0.13041905835527945,0.4753616499994075,0.7351773992758416,80.3125,8.151923710996646,72.17261904761905,90.32738095238096,11.309523809523808,7.664232239288143,3.199404761904762,20.684523809523807,138.8344708709419,3.4213627330041754,134.98960030028388,143.62712366474548,0.1722867866838555,0.08928204845331825,0.071766953864461,0.2839552734634805,0.51821761942284,0.2121883195990195,True
comfort_075_energy_025,Jul_Summer,5,0.6507022102918486,0.1309618084496899,0.4802352057344462,0.7997220974296292,0.5391173441337822,0.13257337897938865,0.3748437514651932,0.6816001914805601,87.2172619047619,6.375059745840699,77.23214285714286,93.97321428571428,8.526785714285714,6.329567220735874,2.827380952380953,16.889880952380953,127.74764773249481,3.4665988274420405,123.96856465246458,132.9568834594151,0.1364179507401591,0.07614164849140431,0.057897642261499,0.2326637640130143,0.5581497748520974,0.1747661217515153,True
comfort_075_energy_025,Jun_Summer,5,0.5778626359885196,0.14457358432070774,0.35552887654172,0.7297431157115007,0.4740393468854486,0.13615703105431953,0.2738865512070657,0.6362193859549873,91.16071428571429,6.223014304135768,83.92857142857143,98.8095238095238,8.467261904761905,6.018144893266463,1.0416666666666663,16.071428571428573,126.92039822784163,6.1816955247654555,119.81313051227195,132.7694523999614,0.12676762726756302,0.07459158438105855,0.0304542639061867,0.2085576342970377,0.5884119312545093,0.178103370390851,True
