variant,scenario,m_s,violation_pct,rmse_center_c,energy_kwh,mean_power_w
l000,peak_heat_window,0.18025038401969543,6.101190476190476,0.7505965614646137,329.578573200339,980.8886107152946
l003,peak_heat_window,0.3073,11.90,0.993,311.5,
l005,peak_heat_window,0.4184,20.98,1.303,298.1,
l010,peak_heat_window,0.4395178518552062,22.991071428571427,1.3426645400299257,300.3520873890511,893.9050219912235
l000,typical_heat_window,0.23373581496604365,3.125,0.6906524005625871,385.13484893941984,1146.234669462559
l003,typical_heat_window,0.2964,9.38,0.959,369.6,
l005,typical_heat_window,0.5118,27.38,1.491,354.5,
l010,typical_heat_window,0.511422278591978,30.654761904761905,1.4549867663001763,357.1035211217487,1062.808098576633
