tsup c0 c1 c2 c3 c4 c5
18.0 20.393131256103516 21.432090759277344 21.729042053222656 22.147903442382812 22.5367488861084 23.649232864379883
19.7 20.301376342773438 21.505271911621094 21.786853790283203 22.21527671813965 22.66141128540039 23.820941925048828
21.4 20.253881454467773 21.58852195739746 21.84404182434082 22.268692016601562 22.75745964050293 24.00333595275879
23.1 20.305021286010742 21.68549346923828 21.90190315246582 22.31700325012207 22.820850372314453 24.18317222595215
24.8 20.44307518005371 21.799367904663086 21.96107292175293 22.36939239501953 22.859628677368164 24.34730339050293
26.5 20.63618278503418 21.933225631713867 22.022329330444336 22.43358612060547 22.88898468017578 24.48703956604004
28.200000000000003 20.85904884338379 22.088842391967773 22.087278366088867 22.514921188354492 22.92343521118164 24.600439071655273
29.9 21.094532012939453 22.264448165893555 22.158674240112305 22.615684509277344 22.972915649414062 24.691465377807617
31.6 21.329999923706055 22.45388412475586 22.239784240722656 22.73531150817871 23.04271125793457 24.7670841217041
33.3 21.55459213256836 22.647754669189453 22.33255386352539 22.87177276611328 23.134916305541992 24.834501266479492
35.0 21.758792877197266 22.83498191833496 22.435914993286133 23.02265167236328 23.249919891357422 24.899829864501953
