err a0
0.1491491725350329 0.7312444448471069
-0.025965090529609824 0.19700177013874054
-0.518424071609445 0.04146242141723633
-0.6978411256079085 0.03153625875711441
-0.7128366130601194 0.05473536252975464
-0.6957908188103374 0.07060563564300537
-0.6755721913565367 0.08091758191585541
-0.6519667730153174 0.0883873850107193
-0.6373251101916253 0.09106451272964478
-0.6228088516251091 0.09346739947795868
-0.6074573927148208 0.09585554897785187
-0.5943718404711831 0.10840016603469849
-0.5788637052471586 0.11400929093360901
-0.5616164739258807 0.11706848442554474
-0.5440479271188678 0.11884693801403046
-0.5155550201123447 0.13480418920516968
-0.505697350868445 0.13761910796165466
-0.502809499470402 0.1359785944223404
-0.49795334531881963 0.1337103247642517
-0.5606287189507952 0.12351778149604797
-0.5704621980874549 0.1284281462430954
-0.5679513510750667 0.13264618813991547
-0.5658378824613806 0.13439540565013885
-0.6832524420903496 0.12169031798839569
-0.7281925637751101 0.12739047408103943
-0.7472663872817407 0.13178662955760956
-0.7121908386301925 0.1318102926015854
-0.6885039589442954 0.11369745433330536
-0.5897424249109804 0.09356614947319031
-0.5580968246451903 0.05939686298370361
-0.5528985853620156 0.028329141438007355
-0.15094304541241854 -0.07238432765007019
-0.30567659252642443 -0.15673251450061798
-0.26765180599721816 -0.15955331921577454
-0.1457037488150945 -0.149593323469162
-0.16135832950612894 -0.24398790299892426
-0.009382896933004758 -0.2826763391494751
0.2702118166230889 -0.32155799865722656
0.604940701732744 -0.3890950083732605
0.6509650447566742 -0.6141067147254944
0.6669326485083502 -0.784696102142334
0.6843310393335287 -0.9146918654441833
0.7355844769495548 -1.0
0.8608486743019625 -1.0
0.8812896116988895 -1.0
0.8846339392773643 -1.0
0.8958766253336421 -1.0
0.8902579637997405 -1.0
0.893812966050973 -1.0
0.8995383071262495 -1.0
0.9091014616342363 -1.0
0.8915964048058527 -1.0
0.89595887126967 -1.0
0.9015449547021035 -1.0
0.9011112146195615 -1.0
0.9239124316650305 -1.0
0.9182905877050871 -1.0
0.9065405396493702 -1.0
0.8961161535730184 -1.0
0.9262175299361957 -1.0
0.9297806390215442 -1.0
0.9274952404351211 -1.0
0.9080367277921368 -1.0
0.9303301994449953 -1.0
0.9162032115104353 -1.0
0.8990494875681634 -1.0
0.8756505440945261 -1.0
0.9684658300003548 -1.0
0.9511667462535343 -1.0
0.9253206568820929 -1.0
0.8913166166530004 -1.0
0.3221264181549941 -1.0
0.7836038891108501 -0.9064887762069702
0.45428535608851917 -0.9848363399505615
0.5586840036388026 -0.9232598543167114
0.6189028092117042 -0.8447571396827698
0.5098175361134167 -0.8236265778541565
0.4448232342194274 -0.7867613434791565
0.3667858367415988 -0.7545842528343201
0.3781140635603606 -0.6743459105491638
0.3037960891832654 -0.6392884254455566
0.23670073369277134 -0.6041976809501648
0.17136627369143298 -0.5703924298286438
0.1869823711247136 -0.4938254952430725
0.14662014735017692 -0.45607686042785645
0.09625824091494906 -0.4247925877571106
0.04120890763829266 -0.398074746131897
0.07077224519559877 -0.3396327495574951
0.05388936097182295 -0.3148134648799896
0.024794350194383696 -0.29550838470458984
-0.012770264028972633 -0.2783586382865906
0.13091573934792677 -0.19742175936698914
0.12750138424320312 -0.18750277161598206
0.07926193413663896 -0.1836930513381958
0.021771208886832483 -0.17861691117286682
0.18859629584881077 -0.10610821843147278
0.17836572385999716 -0.10729438066482544
0.13492986644689609 -0.10875000804662704
0.08472608320784047 -0.10800588876008987
0.2910138388422183 -0.04075125977396965
0.2628747090509478 -0.04946528747677803
0.21548490862630842 -0.05300392955541611
0.1697009793196571 -0.05395906791090965
0.224192485103913 -0.034115903079509735
0.2188543351478529 -0.03364592790603638
0.217958497101165 -0.02994968369603157
0.21390149187027419 -0.026057451963424683
0.29008347524859346 -0.0012334957718849182
0.282399374177146 -0.001430898904800415
0.2710498244718451 -0.00027139484882354736
0.2541508065889957 0.0004808083176612854
0.3346585629759602 0.024059034883975983
0.31625241264066517 0.020650506019592285
0.2911973011723603 0.017999760806560516
0.26340758132840847 0.015034422278404236
0.18016031328181725 0.0011869966983795166
0.15738698980078425 0.0020994842052459717
0.13785660149306977 0.0030539408326148987
0.11392671258374776 0.0038962215185165405
0.04141914838174898 -0.003584146499633789
-0.00692598856380755 -0.004395782947540283
-0.05589720719177649 -0.006248198449611664
-0.0791340953156805 -0.008803032338619232
-0.0750598885188083 -0.022470273077487946
-0.07321963425823697 -0.037210650742053986
-0.12150009012646024 -0.052811745554208755
-0.19185304914526569 -0.06300695240497589
0.2761973244612932 -0.0813707709312439
0.030444057885461007 -0.13973155617713928
0.04312640080456731 -0.12224418669939041
0.03362412442805862 -0.1129557192325592
-8.197684525157456e-05 -0.10681973397731781
-0.013801448399647143 -0.09393934905529022
-0.02592934752334486 -0.08079662173986435
-0.04258831698166432 -0.06718627363443375
-0.08496814798303376 -0.05848256126046181
-0.098110024128232 -0.041612062603235245
-0.09688491303461433 -0.02624669298529625
-0.08779150657187529 -0.01358136534690857
-0.06207800197364577 0.002902485430240631
-0.050530400209879645 0.010831035673618317
-0.04357883458527567 0.016840040683746338
-0.03742889549937445 0.022046156227588654
-0.0005679371018345591 0.034134335815906525
0.010690092483116587 0.03606554865837097
0.01747620874760969 0.03872025012969971
0.022372473420546157 0.04195694625377655
0.06963465435222815 0.05655665695667267
0.07819732080349695 0.056423068046569824
0.08298477040256103 0.05815461277961731
0.093562957997392 0.06065364181995392
0.18394777425942266 0.0832599550485611
0.2074355382695785 0.07686154544353485
0.217715923146784 0.07280121743679047
0.22330126788932603 0.07107003033161163
0.3207290352652876 0.09879869222640991
0.32399516025611774 0.09153248369693756
0.31107892598879516 0.09039820730686188
0.2923939961254973 0.09377454221248627
0.368361446523636 0.12799006700515747
0.3509048058672306 0.12766413390636444
0.32076634702400497 0.13342568278312683
0.2822351370369347 0.1431063562631607
0.3535193208307419 0.19039346277713776
0.3349093648513417 0.1969999521970749
0.3068152037261598 0.2057986706495285
0.280613056804782 0.2161981612443924
-0.26816777304037487 0.2614205479621887
-0.07950486538197765 0.3570789098739624
-0.049775987209727646 0.3384714126586914
-0.10009116017221231 0.3126256465911865
-0.0486810297625766 0.33376026153564453
-0.07298159109711833 0.3189891576766968
-0.11386554007998484 0.3060370683670044
-0.14863780523364767 0.2967871427536011
-0.2059650036488847 0.27842432260513306
-0.223510869688198 0.2746206521987915
-0.22878511707511962 0.27097785472869873
-0.2330335929880789 0.26650816202163696
-0.25292715449586467 0.26088428497314453
-0.2646934583733582 0.25545305013656616
-0.2752392778372723 0.24902258813381195
-0.2855751308816252 0.24235518276691437
-0.31140820045908413 0.23467068374156952
-0.3218180793762144 0.22970126569271088
-0.33077691408351484 0.2237272411584854
-0.34143375285276534 0.21747635304927826
-0.33391450726884386 0.22053007781505585
-0.34911351002347146 0.21274279057979584
-0.36181578992477625 0.20663218200206757
-0.3738749255412017 0.20081989467144012
-0.3602562658414854 0.2053886204957962
-0.3704871448572362 0.19913361966609955
-0.3760603789585275 0.19465674459934235
-0.3803431673414366 0.19035883247852325
-0.3421827247808551 0.20083419978618622
-0.3534353480967525 0.19495554268360138
-0.36072670688139397 0.19182853400707245
-0.3664636821957288 0.18915171921253204
-0.37711826209965693 0.18714545667171478
-0.37246369326078366 0.18750332295894623
-0.36364740163975284 0.18776513636112213
-0.35107639777783106 0.18812786042690277
-0.3424093837053306 0.19521184265613556
-0.33648512754859894 0.19569461047649384
-0.3276448231072777 0.1957840472459793
-0.31964749739086074 0.19559766352176666
-0.31018493383601253 0.20470665395259857
-0.3164898885049183 0.20429487526416779
-0.3225148066746897 0.2028511017560959
-0.32260123448833156 0.20178265869617462
-0.40943969437466876 0.1874443143606186
-0.40870251967419335 0.19336609542369843
-0.4057222081257237 0.1955295354127884
-0.4027321764021963 0.19663123786449432
-0.5581643831316114 0.1778496354818344
-0.5844192171370537 0.186127170920372
-0.6006631191428369 0.18889077007770538
-0.6112874197496581 0.18937258422374725
-0.7610314093298598 0.1723383516073227
-0.7919722375369247 0.17586390674114227
-0.8002993745441245 0.17085857689380646
-0.7896317624862377 0.16348938643932343
-0.9197035335953387 0.0028022006154060364
-1.1242903202534649 -0.019868895411491394
-1.059827724278989 0.03313086926937103
-0.9122417197465893 0.08892686665058136
-1.2201869835541856 -0.03677390143275261
-1.2515010655777132 -0.02079283446073532
-1.1500644178101993 0.026016734540462494
-0.9502252512797327 0.06870301067829132
-1.0344748383506612 -0.09696346521377563
-0.9968817116550781 -0.15116259455680847
-0.8026807132363274 -0.1604767143726349
-0.4814663281690059 -0.17915651202201843
-0.12654730956955973 -0.30263251066207886
0.18837649155182135 -0.45875048637390137
0.35100729029761624 -0.6404640078544617
0.3211570280647038 -0.8188831806182861
0.08247356470025125 -0.9999527931213379
0.34116507368139537 -1.0
0.41817488994786345 -1.0
0.4963540856022064 -1.0
0.4436691415731957 -1.0
0.4928681017572103 -1.0
0.5176217270171151 -1.0
0.5041027612472817 -1.0
0.5838465515577127 -1.0
0.5654482228682127 -1.0
0.5370389968989002 -1.0
0.5017328175849798 -1.0
0.5864373804662932 -1.0
0.5616163478106273 -1.0
0.518894595171389 -1.0
0.4652961197011791 -1.0
0.5533286084111637 -1.0
0.5100898518795134 -1.0
0.46626126726471284 -1.0
0.4202366091739691 -1.0
0.6679875275425502 -0.9490338563919067
0.4286987435933156 -0.9922882318496704
0.5310322803229042 -0.942460298538208
0.38742012284365046 -0.9500876069068909
-0.1657495208241926 -0.8154938817024231
0.05700447150263699 -0.5933011174201965
-0.051952250342139905 -0.5563904047012329
-0.18109999100119012 -0.5218656659126282
-0.21245879924651945 -0.40819883346557617
-0.29183951078226755 -0.360302209854126
-0.3827817967340934 -0.3296229839324951
-0.46678726335801457 -0.3031824827194214
-0.48632513314561265 -0.24507758021354675
-0.5092395978554123 -0.21668587625026703
-0.5414629736549728 -0.19884386658668518
-0.5776352565000025 -0.18329960107803345
-0.5546974160776585 -0.13752204179763794
-0.5472603049311715 -0.12056031823158264
-0.5607818581038941 -0.11305548995733261
-0.5837107903688548 -0.10615029186010361
-0.5491206717478008 -0.07250896096229553
-0.5476356202242414 -0.06399206817150116
-0.5656392437709883 -0.060601506382226944
-0.5823697038616729 -0.05541261285543442
-0.6052065709088197 -0.05463556572794914
-0.6174723652607668 -0.045899197459220886
-0.6233085848525661 -0.035961493849754333
-0.6263500209876725 -0.02654915675520897
-0.6243264405720765 -0.020875878632068634
-0.6234266125201771 -0.014059223234653473
-0.6211735403558123 -0.0066206082701683044
-0.6183059215087496 0.0009815618395805359
-0.6125791965700955 0.0053065866231918335
-0.6072010502277863 0.011633031070232391
-0.6000667780181743 0.018891550600528717
-0.5914772851455155 0.02643445134162903
-0.4596137773733062 0.06945158541202545
-0.4149902570628683 0.0729372501373291
-0.41886839065011827 0.06674501299858093
-0.4359730386955789 0.060212597250938416
-0.3540021692919595 0.09671807289123535
-0.32342290855365263 0.0994730144739151
-0.32077514219810155 0.09449034929275513
-0.3290888910067338 0.08896128833293915
-0.22885451420143 0.12818637490272522
-0.20757760616572796 0.12630246579647064
-0.22347904558864684 0.11399975419044495
-0.24171389979784408 0.10271887481212616
-0.373094318041467 0.07377742230892181
-0.40376836183577325 0.07783478498458862
-0.3978133541943407 0.08674202859401703
-0.38547414380576583 0.09395045042037964
-0.5329188191975618 0.07295587658882141
-0.5910574899409653 0.07993073761463165
-0.6104101583107422 0.08839689195156097
-0.5703607134126969 0.0921875536441803
-0.579115147658797 0.06193448603153229
-0.5025592938882824 0.042551785707473755
-0.48524973558517104 0.015615031123161316
-0.49960255225647643 -0.008231528103351593
0.03338448997629939 -0.09469939768314362
-0.1303895009207281 -0.19911861419677734
-0.15123279880657492 -0.21634000539779663
-0.0586228497124921 -0.2087576687335968
-0.011980757368689865 -0.28983551263809204
0.1455438187098821 -0.33761894702911377
0.3751964774410226 -0.3891018033027649
0.6368348586856314 -0.4614120125770569
0.5905134466435698 -0.6688964366912842
0.5762863556496995 -0.8056595921516418
0.5900798612901781 -0.9013645052909851
0.5715614646452423 -0.9791518449783325
0.6369021793836964 -1.0
0.6619977414149503 -1.0
0.663089164785049 -1.0
0.673564473523868 -1.0
0.6791053052306211 -1.0
0.6834183258553139 -1.0
0.6851650091349484 -1.0
0.6831880494187317 -1.0
0.6618682047856055 -1.0
0.6661335129635404 -1.0
0.6719401612173215 -1.0
0.6770738977646715 -1.0
0.7919918741683318 -1.0
0.7916126714002871 -1.0
0.7796014136753229 -1.0
