err v3 raw cal
0.0 0.0 0.0 0.0
0.0847457627118644 0.035461653015636634 0.03434475055845123 0.11680938198064035
0.1694915254237288 0.07045793000744602 0.0689687267311988 0.2319434102755026
0.2542372881355932 0.10647803425167536 0.10433730454206999 0.3432613551749814
0.3389830508474576 0.14370811615785556 0.1434288905435592 0.4440618019359643
0.423728813559322 0.1789836187639613 0.18075204765450484 0.5253164556962026
0.5084745762711864 0.21602755026061057 0.21742367833209233 0.6044303797468354
0.5932203389830508 0.24785927029039465 0.24748696947133283 0.6791697691734921
0.6779661016949152 0.2808078927773641 0.2796909903201787 0.7457185405807892
0.7627118644067796 0.3211094564408042 0.316734921816828 0.7978406552494416
0.847457627118644 0.36122486969471335 0.3548957557706627 0.8369322412509308
0.9322033898305084 0.4026433358153388 0.3939873417721519 0.8750930752047654
1.0169491525423728 0.4415487714072971 0.4325204765450484 0.9046909903201787
1.1016949152542372 0.47943037974683544 0.48203648548026806 0.9234921816827997
1.1864406779661016 0.517777364110201 0.529970215934475 0.9413626209977662
1.271186440677966 0.5565897244973939 0.5681310498883098 0.9553239017125837
1.3559322033898304 0.598566641846612 0.6087118391660462 0.9681682799702159
1.4406779661016949 0.6391474311243485 0.6454765450483991 0.9746835443037974
1.5254237288135593 0.6761913626209978 0.6817758749069248 0.978499627699181
1.6101694915254237 0.7072784810126582 0.7147244973938943 0.9823157110945644
1.694915254237288 0.7358525688756515 0.7463700670141474 0.9854802680565897
1.7796610169491525 0.7596798212956068 0.7727103499627699 0.9884586746090841
1.8644067796610169 0.7843447505584512 0.7956068503350707 0.9902271034996277
1.9491525423728813 0.805565897244974 0.8221332836932241 0.9910647803425168
2.0338983050847457 0.8253909158600149 0.8431682799702159 0.9918093819806404
2.11864406779661 0.8439128816083395 0.8627140729709606 0.9927401340282949
2.2033898305084745 0.8603871928518243 0.8796537602382726 0.9932985852568875
2.288135593220339 0.8751861504095308 0.8951973194341027 0.9943224125093075
2.3728813559322033 0.8884959046909903 0.9087862993298585 0.995253164556962
2.4576271186440675 0.9009679821295606 0.9240506329113924 0.9959046909903202
2.542372881355932 0.9140915860014892 0.9350335070737156 0.9963700670141474
2.6271186440677967 0.9249813849590469 0.9429448994787789 0.9965562174236783
2.711864406779661 0.9331720029784065 0.9500186150409531 0.9969285182427401
2.796610169491525 0.9410833953834699 0.9559754281459419 0.9970215934475056
2.8813559322033897 0.9482501861504096 0.9620253164556962 0.997114668652271
2.9661016949152543 0.9538346984363366 0.9665860014892033 0.9973008190618019
3.0508474576271185 0.9597915115413254 0.9696574832464632 0.9973008190618019
3.1355932203389827 0.9656552494415488 0.9719843633655995 0.9973938942665674
3.2203389830508473 0.9704020848845868 0.9749627699180938 0.9973938942665674
3.305084745762712 0.973566641846612 0.9775688756515264 0.9974869694713329
3.389830508474576 0.9762658227848101 0.9803611317944899 0.9976731198808637
3.4745762711864403 0.9781273268801192 0.9829672375279226 0.9976731198808637
3.559322033898305 0.9807334326135517 0.9851079672375279 0.9977661950856291
3.6440677966101696 0.9818503350707372 0.9865040953090097 0.9977661950856291
3.7288135593220337 0.9834326135517498 0.9886448250186151 0.9978592702903947
3.813559322033898 0.9844564408041697 0.990692479523455 0.9979523454951601
3.8983050847457625 0.9863179448994788 0.9922747580044676 0.9979523454951601
3.983050847457627 0.9877140729709606 0.9932055100521221 0.9980454206999255
4.067796610169491 0.9891102010424423 0.994415487714073 0.9980454206999255
4.1525423728813555 0.9899478778853313 0.9953462397617274 0.9980454206999255
4.23728813559322 0.9905994043186895 0.9958116157855548 0.998138495904691
4.322033898305085 0.9913440059568132 0.9961839166046166 0.9984177215189873
4.406779661016949 0.9922747580044676 0.9964631422189129 0.9985107967237528
4.491525423728813 0.992553983618764 0.9973008190618019 0.9986969471332837
4.576271186440678 0.9930193596425912 0.9975800446760983 0.9986969471332837
4.661016949152542 0.9938570364854803 0.998138495904691 0.9988830975428146
4.745762711864407 0.9946947133283693 0.998138495904691 0.9988830975428146
4.830508474576271 0.9953462397617274 0.998138495904691 0.99897617274758
4.915254237288135 0.9956254653760238 0.9982315711094565 0.999162323157111
5.0 0.996090841399851 0.9984177215189873 0.999162323157111
