hour scratch warm
0.0 25.489499395493226 26.861723502186976
0.25 25.19751904424038 16.97401211031564
0.5 25.860607890725817 26.14234097076036
0.75 25.77555026149139 16.84003559450457
1.0 25.881416560772152 25.88593420335991
1.25 25.888512986444482 16.729508148737864
1.5 25.9335283552478 25.65260222846257
1.75 25.929816681959437 16.635457927279106
2.0 26.002504335996264 25.445765731348672
2.25 26.074165664398492 16.58808158118643
2.5 26.156189038653167 25.303346125248254
2.75 26.23983583814004 16.522170407327906
3.0 26.30226115728209 25.159581066392434
3.25 26.36142373461746 16.402897372914424
3.5 26.42324251913095 24.920730550233657
3.75 26.550268713603487 16.32945187060602
4.0 26.61855684057622 25.0185249667054
4.25 26.70176636357695 16.24896878541881
4.5 26.756643105264345 24.841062161859668
4.75 26.754068068604454 16.130475161120046
5.0 26.7516582489626 24.43376852128563
5.25 26.75002855194049 16.041229421943115
5.5 26.747828704855237 24.241158529461472
5.75 26.742220667133267 15.976524768158868
6.0 26.731099358901304 24.100551917547193
6.25 26.71773800465172 15.893996305747123
6.5 26.70920421017695 23.90244020432243
6.75 26.715251203292155 15.820764758372661
7.0 26.75638174576858 23.725746629005016
7.25 26.8329674585014 15.87773127221783
7.5 26.974426698971854 23.875530240624755
7.75 27.561172079549863 16.65200398387799
8.0 27.328757358622966 25.081029738033408
8.25 26.984437675019024 16.96200888134024
8.5 26.70497444722389 25.46926737757292
8.75 26.00149894919315 17.237763589681492
9.0 25.733470295122004 25.91334020207171
9.25 25.48392634806038 17.58289492591848
9.5 25.228381026956527 26.516675685422456
9.75 24.23351833274006 18.11008194230743
10.0 24.103594829018903 27.41727870590995
10.25 23.859048595639933 18.7281975365334
10.5 23.56919918875934 28.10073635484997
10.75 22.86915465173837 19.263739243671637
11.0 22.862057601428944 28.64592886313892
11.25 22.954219438059 19.682779133906706
11.5 22.918692673915473 29.054526527939913
11.75 22.83881967860242 20.075031774022193
12.0 22.983721267908948 29.501650752156138
12.25 22.9395647491188 20.467727963224718
12.5 23.046801082022967 29.875742762584082
12.75 22.658732035827825 20.799954388314575
13.0 23.026303412468906 30.179326679343035
13.25 22.69529690771151 21.09834694961029
13.5 22.94407562570302 30.415881256535158
13.75 22.94258190679534 21.287286225727712
14.0 22.96133105738295 30.596317768458505
14.25 22.98323212944797 21.396842771867227
14.5 22.998117527592285 30.6864924677339
14.75 23.500924970327105 21.407531942667106
15.0 22.986605307595482 30.561102844051618
15.25 23.325278257950913 21.241123729165736
15.5 22.87756937798457 30.25691953767881
15.75 22.55426032944854 20.904250982507676
16.0 22.646852999979842 29.773060831450266
16.25 22.37047975503367 20.497534697672847
16.5 22.486197021670932 29.332703649046493
16.75 23.335324174411312 20.163554559148793
17.0 22.883768984507753 28.998433270974658
17.25 23.227923081608765 19.870090025489617
17.5 23.54387590636344 28.7394558494737
17.75 23.502079680424174 19.229088416730747
18.0 24.21852354172944 27.99947527262225
18.25 24.435626367765735 18.99203939065808
18.5 24.634383530760203 27.926263327614322
18.75 24.81615514269498 18.811644432335072
19.0 25.010491159745015 27.866816416468282
19.25 25.18684524926539 18.645976549251372
19.5 25.355170918281374 27.794192434707213
19.75 25.240208334247654 18.476229323330926
20.0 25.45514873858002 27.68528815286595
20.25 25.629314559330965 18.293540995793762
20.5 25.802269202972695 27.568282176428568
20.75 25.72782555602589 18.135737715448386
21.0 25.90034547871369 27.428719950853406
21.25 25.997898787011025 18.001815875322393
21.5 26.105647672460407 27.333981097944502
21.75 25.55280709680801 17.882524809839765
22.0 25.779457482656028 27.199884847437943
22.25 25.829590668317394 17.79226144083134
22.5 25.922988821713545 27.118618880292956
22.75 26.153376623662894 17.71251862372145
23.0 26.166889606817904 27.020352612086754
23.25 26.158143093237186 17.609094119997565
23.5 26.127351497408426 26.880044666989647
23.75 25.951374548429158 17.50269711285057
