h v3_m v3_lo v3_hi raw_m raw_lo raw_hi cal_m cal_lo cal_hi
1.0 1.291990186879127 1.2741533064098525 1.3082320727232277 1.249039980565805 1.2325580505527751 1.2640953158799288 0.5021016300780522 0.49362720511155284 0.5101545622826388
4.0 1.356242285923786 1.3399405950820518 1.3696978911574225 1.304267780953884 1.2898352772195298 1.3162040923982277 0.5253510574990234 0.518369232275807 0.5326979031102362
8.0 1.4228816809356806 1.409538102777431 1.435986183398408 1.3628634485282018 1.3501750879370928 1.3739642486509347 0.5482029320815117 0.541623599570399 0.5554583984550486
24.0 1.4947355706758052 1.4854096198445998 1.503641584154965 1.4266129514397017 1.418717164372355 1.4343518569069844 0.5880001038384756 0.5828497964657604 0.5936046398464779
