x raw cal
-2.95 0.014425851125216374 0.0
-2.8499999999999996 0.026928255433737235 0.0
-2.75 0.0307751490671284 0.0
-2.6500000000000004 0.027889978842084988 0.0018665422305179638
-2.55 0.040392383150605844 0.0009332711152589819
-2.45 0.05674168109251774 0.002799813345776946
-2.3499999999999996 0.07212925562608187 0.005599626691553892
-2.25 0.07309097903442996 0.009332711152589861
-2.1500000000000004 0.07501442585112515 0.0037330844610359275
-2.05 0.06828236199269083 0.0009332711152589819
-1.95 0.08751683015964601 0.002799813345776946
-1.8499999999999999 0.0923254472013848 0.012132524498366765
-1.75 0.09040200038468948 0.024265048996733582
-1.65 0.09809578765147135 0.01866542230517964
-1.5499999999999998 0.1019426812848626 0.027998133457769518
-1.45 0.1317561069436429 0.03453103126458233
-1.3499999999999999 0.13271783035199067 0.07652823145123652
-1.25 0.1432967878438163 0.11012599160056011
-1.15 0.13752644739372943 0.15212319178721406
-1.0499999999999998 0.13271783035199095 0.15865608959402727
-0.95 0.12117714945181755 0.24078394773681733
-0.8499999999999999 0.13752644739372943 0.2883807746150254
-0.7499999999999998 0.12983266012694739 0.3658422771815209
-0.6499999999999997 0.14714368147720702 0.49743350443303735
-0.5499999999999998 0.14618195806885992 0.5534297713485787
-0.44999999999999996 0.1827274475860741 0.5646290247316841
-0.34999999999999987 0.2173494902865934 0.6598226784881002
-0.24999999999999978 0.2010001923446815 0.7690153989734011
-0.1499999999999997 0.22119638391998445 0.7690153989734011
-0.04999999999999982 0.22023466051163765 0.7074195053663115
0.050000000000000044 0.19715329871129045 0.6831544563695747
0.15000000000000013 0.2144643200615501 0.5618292113859071
0.2500000000000002 0.23466051163685303 0.5076994867008862
0.3500000000000003 0.25678015002885146 0.4181054596360239
0.4500000000000002 0.2596653202538959 0.35370975268315574
0.55 0.23177534141180975 0.32197853476434873
0.6500000000000001 0.2500480861704172 0.257582827811479
0.7500000000000002 0.3394883631467587 0.19972001866542213
0.8500000000000003 0.3366031929217154 0.1651889874008398
0.9500000000000002 0.33564146951336915 0.13812412505832994
1.0500000000000003 0.4606655125985742 0.07466168922071822
1.1500000000000004 0.4356607039815365 0.05319645356976221
1.25 0.32506251202154374 0.05599626691553917
1.35 0.34045008655510495 0.03919738684087707
1.4500000000000002 0.3058280438545885 0.02333177788147465
1.5500000000000003 0.31352183112136783 0.015865608959402623
1.6500000000000004 0.29236391613771984 0.017732151189920737
1.7500000000000004 0.21638776687824468 0.011199253383107732
1.8500000000000005 0.18945951144450923 0.0055996266915539165
1.9500000000000002 0.23081361800346303 0.004666355576294931
2.0500000000000003 0.15195229851894515 0.009332711152589778
2.1500000000000004 0.1471436814772077 0.003733084461035944
2.2500000000000004 0.11348336218503498 0.002799813345776933
2.3500000000000005 0.09713406424312403 0.003733084461035944
2.45 0.11252163877668822 0.004666355576294931
2.5500000000000003 0.0711675322177338 0.0018665422305179555
2.6500000000000004 0.0644354683593001 0.0027998133457769582
2.7500000000000004 0.04135410655895343 0.0018665422305179555
2.8500000000000005 0.041354106558953795 0.0
2.95 0.034622042700519454 0.001866542230517972
