hour amb tz_v3 tz_v35 tz_hy ts_v3 ts_v35 ts_hy p_v3 p_v35 p_hy
0.0 -4.6483258928571445 22.323114684417533 26.923419449074743 22.649149172535033 27.971111074090004 35.0 32.71557778120041 1.9928521561689505 4.299672108767198 2.1757434928411574
0.25 -4.3237025669643 21.605814621526065 17.778729406115076 22.47403490947039 26.077580435201526 18.0 28.174515046179295 1.589951215008904 0.31120893742933614 1.9513168347344747
0.5 -4.0 21.75819803345246 25.847954556949958 21.981575928390555 26.854118388146162 35.0 26.85243058204651 1.6957270515154892 3.7286589731247406 1.751018309425365
0.75 -3.6260044642856997 21.700686930738357 17.742007614586612 21.80215887439209 26.786104064434767 18.0 26.768058199435472 1.6906306273502876 0.3334544530750777 1.7047895712090848
1.0 -3.225892857142867 21.718081743621497 25.658149527404703 21.78716338693988 26.944793175905943 35.0 26.965250581502914 1.7102347207091058 3.6940961337732343 1.7173795249480441
1.25 -2.9128348214285893 21.749073583521465 17.73264355913716 21.804209181189663 27.080901112407446 18.0 27.100147902965546 1.7284715515758802 0.3388689801494761 1.7341988684575667
1.5 -2.8000000000000114 21.777213512002334 25.566958550110883 21.824427808643463 27.21134228631854 35.0 27.18779944628477 1.7464291928960207 3.67919271871542 1.7521579613807454
1.75 -2.8249999999999886 21.81540233592932 17.708487268928707 21.848033226984683 27.358289267867804 18.0 27.251292772591114 1.775990731117856 0.35348337703786015 1.777989228572503
2.0 -2.8500000000000227 21.83799375676415 25.4183606996167 21.862674889808375 27.480472091585398 35.0 27.27404835820198 1.799835934762628 3.647009998705603 1.8012909059971662
2.25 -2.875 21.86012284788194 17.670734137074476 21.87719114837489 27.60217671096325 18.0 27.29447289556265 1.8246170181909758 0.37652926720263213 1.8251842486271515
2.5 -2.8999999999999773 21.884365897011776 25.305244410355556 21.89254260728518 27.71964994072914 35.0 27.31477216631174 1.8511312583712003 3.638830067825414 1.8499533715394962
2.75 -2.9250000000000114 21.86195427830694 17.63264147407449 21.905628159528817 27.942562445998192 18.0 27.421401411294937 1.8545037009125842 0.39981655236834873 1.8725636767589555
3.0 -2.9499999999999886 21.903716507892 25.173204495304333 21.92113629475284 28.090069010853767 35.0 27.469078972935677 1.8922479779469719 3.622721770911952 1.8975508235078908
3.25 -2.9750000000000227 21.95433176908881 17.593816555483443 21.93838352607412 28.199529990553856 18.0 27.49508211761713 1.932196959369896 0.42358214550267037 1.923645053966015
3.5 -3.0 22.020054343830054 25.060201707462284 21.955952072881132 28.300893858075142 35.0 27.51019897311926 1.978316122821035 3.6182496934776283 1.9498712250744143
3.75 -3.0984374999999886 22.06311642211847 17.553459577255182 21.984444979887655 28.525692835450172 18.0 27.645835608243942 2.012499232713582 0.448314475639218 1.981267490010693
4.0 -3.2624999999999886 22.17085310729908 24.92213280417917 21.994302649131555 28.637153521180153 35.0 27.669762417674065 2.0852531731266777 3.6097547240593206 2.0097332077403576
