A0 v3 matched v35
-1.0 -0.4920339513898125 0.5321887562602291 -0.47244978018864575
-0.95 -0.4682673226087644 0.484799779058723 -0.462238291831665
-0.9 -0.44442110259229745 0.43839405242997403 -0.4532048867630265
-0.85 -0.42050400779527797 0.3932464636308818 -0.4450657930957572
-0.8 -0.3965238973163559 0.3658357430020746 -0.4374096849128813
-0.75 -0.37248877314688406 0.3463002457352817 -0.42974211119921857
-0.7 -0.3484046367803768 0.32707928292590294 -0.4215041273289133
-0.6499999999999999 -0.32427663235413245 0.2932393980484825 -0.379806578592979
-0.6 -0.30010647458058365 0.24733058299951388 -0.36852012681296664
-0.55 -0.2758933061035141 0.20347284979049 -0.34031222947420947
-0.5 -0.2516332688199501 0.16189879533109525 -0.30728192289535605
-0.44999999999999996 -0.22732078991448534 0.12281987135740643 -0.29146536299853193
-0.3999999999999999 -0.2029482960738753 0.10776566815460992 -0.24005105656788964
-0.35 -0.17850664216514545 0.06981504548726954 -0.20787042272328451
-0.29999999999999993 -0.1539873975188349 0.05810319798832198 -0.19408025556947842
-0.25 -0.12938213146548275 0.03675991731205813 -0.17823202563944435
-0.19999999999999996 -0.10468427094076359 0.046908375770878266 -0.16010358827418833
-0.1499999999999999 -0.07988881470008198 -0.001157246986073435 -0.13960895199280948
-0.09999999999999998 -0.05499433381641065 -0.018584866992346207 -0.1167839465790165
-0.04999999999999993 -0.030001542753263218 -0.027952178900547298 -0.09177762393303761
0.0 -0.005028516190534337 -0.03601113319177335 -0.06481642828791181
0.050000000000000044 0.019791946273124476 -0.043102695790448155 -0.03399785056253478
0.10000000000000009 0.04468399798084945 -0.04960747982150992 0.00518273451860752
0.15000000000000013 0.07117835435688118 -0.05592195729010258 0.044674322122341376
0.20000000000000018 0.09878238758078682 -0.06247167481508066 0.08434792502731545
0.25 0.12421377211160878 -0.07859351588408905 0.12411468536993216
0.30000000000000004 0.148126294342141 -0.10570162844913149 0.1639330406010894
0.3500000000000001 0.17276291663077206 -0.1337427717996127 0.20378722561595533
0.40000000000000013 0.1983495697664524 -0.1494453840150478 0.2436987382847552
0.4500000000000002 0.223971660292409 -0.15699949728639057 0.27726442922193245
0.5 0.24962747349620915 -0.16668927309210874 0.31458473193291886
0.55 0.2753167235924474 -0.17900633671858082 0.34138523536759807
0.6000000000000001 0.301039267688421 -0.1943868073714652 0.37607706514571393
0.6500000000000001 0.32679553446223814 -0.21319543929549423 0.39132719985695996
0.7000000000000002 0.35258680994822333 -0.23571769233437162 0.42287317462545154
0.75 0.378412379682863 -0.26215708878407123 0.4357101297090598
0.8 0.40427152920264353 -0.292653715419744 0.4356055067406304
0.8500000000000001 0.4301616864389157 -0.3272577920287081 0.4480797595454482
0.9000000000000001 0.4560788503960034 -0.36596667546426254 0.47477151521708455
0.9500000000000002 0.4820167337949864 -0.4148372975591371 0.5012282275075918
1.0 0.5079660486101875 -0.46781124373977095 0.5275502198113543
