lambda ms_peak viol_peak ms_typ viol_typ
0.0 0.18025038401969543 6.101190476190476 0.23373581496604365 3.125
0.03 0.3073 11.90 0.2964 9.38
0.05 0.4184 20.98 0.5118 27.38
0.1 0.4395178518552062 22.991071428571427 0.511422278591978 30.654761904761905
