epoch,train_loss,train_rmse_temp,val_loss,val_rmse_temp,loss_c_prior_train,loss_c_prior_val,c_zon_j_per_k,czon_lr
1,3.8453579021222666,1.9606688130985608,3.591815948486328,1.8952076435089111,1.200831816690466e-05,3.775516961468384e-05,533266.625,0.001
2,3.815671949675589,1.952945109569665,3.568816900253296,1.889127254486084,8.590007608731729e-05,0.0001492212322773412,536514.25,0.001
3,3.7709937456882363,1.940771966269522,3.5464694499969482,1.8831983804702759,0.00023164795129559934,0.0003304044948890805,539722.0625,0.001
4,3.767440904270519,1.9405601024627686,3.5247159004211426,1.8774073123931885,0.00044476194924562043,0.0005778864142484963,542895.25,0.001
5,3.7376019087704746,1.9326765790130154,3.503445863723755,1.8717256784439087,0.000722600831509088,0.0008897707448340952,546047.6875,0.001
6,3.7248013308553984,1.9294342814069805,3.482489824295044,1.8661091327667236,0.0010674930138823886,0.0012666602851822972,549202.875,0.001
7,3.694069847916112,1.921551444313743,3.4619922637939453,1.8605971336364746,0.0014737061168434043,0.0017042574472725391,552337.625,0.001
8,3.674062642184171,1.9161958875078144,3.4419777393341064,1.855197548866272,0.0019395426903484445,0.002199054230004549,555445.9375,0.001
9,3.647490226861202,1.9091624202150288,3.4224693775177,1.8499175310134888,0.0024601207114756107,0.002747521037235856,558522.0,0.001
10,3.6277506784959273,1.9039766066002124,3.403315305709839,1.8447167873382568,0.0030367332087321715,0.0033513554371893406,561587.875,0.001
11,3.607018333492857,1.8985640316298513,3.3846678733825684,1.8396378755569458,0.0036606117306898036,0.004003164824098349,564617.0625,0.001
12,3.5896455880367393,1.8941634821169304,3.3662569522857666,1.8346078395843506,0.004343206429797591,0.0047102379612624645,567651.9375,0.001
13,3.557700605103464,1.885664741198222,3.3483240604400635,1.82969331741333,0.005071262702007185,0.005461384076625109,570651.1875,0.001
14,3.53584496902697,1.8795132998264197,3.330803871154785,1.8248776197433472,0.005842450342959527,0.00625615194439888,573623.4375,0.001
15,3.526798392787124,1.877450476993214,3.3136556148529053,1.8201501369476318,0.006658391490804426,0.007094121538102627,576573.875,0.001
